"TOA5","CR1000_cigar","CR1000","E3121","CR1000.Std.22","CPU:SBGmeas.CR1","6736","SBG_meas"
"TIMESTAMP","RECORD","BigRedButtonPressed","SBG","SBG_flux"
"TS","RN","","",""
"","","Smp","Smp","Smp"
"2017-05-16 15:46:29.95",96,0,0.02358827,0.04475953
"2017-05-16 15:46:30",97,0,0.02358827,0.04475953
"2017-05-16 15:46:30.05",98,0,0.0232513,0.04412011
"2017-05-16 15:46:30.1",99,0,0.0232513,0.04412011
"2017-05-16 15:46:30.15",100,0,0.0232513,0.04412011
"2017-05-16 15:46:30.2",101,0,0.0232513,0.04412011
"2017-05-16 15:46:30.25",102,0,0.02358827,0.04475953
"2017-05-16 15:46:30.3",103,0,0.02426222,0.04603837
"2017-05-16 15:46:30.35",104,0,0.02426222,0.04603837
"2017-05-16 15:46:30.4",105,0,0.02358827,0.04475953
"2017-05-16 15:46:30.45",106,0,0.0232513,0.04412011
"2017-05-16 15:46:30.5",107,0,0.02426222,0.04603837
"2017-05-16 15:46:30.55",108,0,0.02392525,0.04539895
"2017-05-16 15:46:30.6",109,0,0.02392525,0.04539895
"2017-05-16 15:46:30.65",110,0,0.02493617,0.04731721
"2017-05-16 15:46:30.7",111,0,0.02493617,0.04731721
"2017-05-16 15:46:30.75",112,0,0.0245992,0.04667779
"2017-05-16 15:46:30.8",113,0,0.0245992,0.04667779
"2017-05-16 15:46:30.85",114,0,0.02426222,0.04603837
"2017-05-16 15:46:30.9",115,0,0.0245992,0.04667779
"2017-05-16 15:46:30.95",116,0,0.0245992,0.04667779
"2017-05-16 15:46:31",117,0,0.0245992,0.04667779
"2017-05-16 15:46:31.05",118,0,0.02426222,0.04603837
"2017-05-16 15:46:31.1",119,0,0.02527315,0.04795664
"2017-05-16 15:46:31.15",120,0,0.02392525,0.04539895
"2017-05-16 15:46:31.2",121,0,0.02493617,0.04731721
"2017-05-16 15:46:31.25",122,0,0.0245992,0.04667779
"2017-05-16 15:46:31.3",123,0,0.0245992,0.04667779
"2017-05-16 15:46:31.35",124,0,0.02426222,0.04603837
"2017-05-16 15:46:31.4",125,0,0.02493617,0.04731721
"2017-05-16 15:46:31.45",126,0,0.0245992,0.04667779
"2017-05-16 15:46:31.5",127,0,0.02426222,0.04603837
"2017-05-16 15:46:31.55",128,0,0.02426222,0.04603837
"2017-05-16 15:46:31.6",129,0,0.0245992,0.04667779
"2017-05-16 15:46:31.65",130,0,0.0245992,0.04667779
"2017-05-16 15:46:31.7",131,0,0.02392525,0.04539895
"2017-05-16 15:46:31.75",132,0,0.02392525,0.04539895
"2017-05-16 15:46:31.8",133,0,0.02392525,0.04539895
"2017-05-16 15:46:31.85",134,0,0.02358827,0.04475953
"2017-05-16 15:46:31.9",135,0,0.02358827,0.04475953
"2017-05-16 15:46:31.95",136,0,0.02291432,0.04348069
"2017-05-16 15:46:32",137,0,0.0232513,0.04412011
"2017-05-16 15:46:32.05",138,0,0.02358827,0.04475953
"2017-05-16 15:46:32.1",139,0,0.02257735,0.04284127
"2017-05-16 15:46:32.15",140,0,0.02291432,0.04348069
"2017-05-16 15:46:32.2",141,0,0.02291432,0.04348069
"2017-05-16 15:46:32.25",142,0,0.0232513,0.04412011
"2017-05-16 15:46:32.3",143,0,0.02257735,0.04284127
"2017-05-16 15:46:32.35",144,0,0.0219034,0.04156242
"2017-05-16 15:46:32.4",145,0,0.02392525,0.04539895
"2017-05-16 15:46:32.45",146,0,0.02257735,0.04284127
"2017-05-16 15:46:32.5",147,0,0.02224037,0.04220184
"2017-05-16 15:46:32.55",148,0,0.02257735,0.04284127
"2017-05-16 15:46:32.6",149,0,0.02291432,0.04348069
"2017-05-16 15:46:32.65",150,0,0.02224037,0.04220184
"2017-05-16 15:46:32.7",151,0,0.02224037,0.04220184
"2017-05-16 15:46:32.75",152,0,0.02257735,0.04284127
"2017-05-16 15:46:32.8",153,0,0.0232513,0.04412011
"2017-05-16 15:46:32.85",154,0,0.02257735,0.04284127
"2017-05-16 15:46:32.9",155,0,0.02291432,0.04348069
"2017-05-16 15:46:32.95",156,0,0.02224037,0.04220184
"2017-05-16 15:46:33",157,0,0.02257735,0.04284127
"2017-05-16 15:46:33.05",158,0,0.0232513,0.04412011
"2017-05-16 15:46:33.1",159,0,0.0232513,0.04412011
"2017-05-16 15:46:33.15",160,0,0.0232513,0.04412011
"2017-05-16 15:46:33.2",161,0,0.02291432,0.04348069
"2017-05-16 15:46:33.25",162,0,0.02291432,0.04348069
"2017-05-16 15:46:33.3",163,0,0.02257735,0.04284127
"2017-05-16 15:46:33.35",164,0,0.02392525,0.04539895
"2017-05-16 15:46:33.4",165,0,0.02291432,0.04348069
"2017-05-16 15:46:33.45",166,0,0.0219034,0.04156242
"2017-05-16 15:46:33.5",167,0,0.02224037,0.04220184
"2017-05-16 15:46:33.55",168,0,0.02291432,0.04348069
"2017-05-16 15:46:33.6",169,0,0.02257735,0.04284127
"2017-05-16 15:46:33.65",170,0,0.02358827,0.04475953
"2017-05-16 15:46:33.7",171,0,0.02224037,0.04220184
"2017-05-16 15:46:33.75",172,0,0.02291432,0.04348069
"2017-05-16 15:46:33.8",173,0,0.02257735,0.04284127
"2017-05-16 15:46:33.85",174,0,0.02224037,0.04220184
"2017-05-16 15:46:33.9",175,0,0.0232513,0.04412011
"2017-05-16 15:46:33.95",176,0,0.02257735,0.04284127
"2017-05-16 15:46:34",177,0,0.02257735,0.04284127
"2017-05-16 15:46:34.05",178,0,0.02257735,0.04284127
"2017-05-16 15:46:34.1",179,0,0.02358827,0.04475953
"2017-05-16 15:46:34.15",180,0,0.02257735,0.04284127
"2017-05-16 15:46:34.2",181,0,0.02257735,0.04284127
"2017-05-16 15:46:34.25",182,0,0.0232513,0.04412011
"2017-05-16 15:46:34.3",183,0,0.0232513,0.04412011
"2017-05-16 15:46:34.35",184,0,0.0232513,0.04412011
"2017-05-16 15:46:34.4",185,0,0.02426222,0.04603837
"2017-05-16 15:46:34.45",186,0,0.02358827,0.04475953
"2017-05-16 15:46:34.5",187,0,0.0232513,0.04412011
"2017-05-16 15:46:34.55",188,0,0.02291432,0.04348069
"2017-05-16 15:46:34.6",189,0,0.02358827,0.04475953
