"TOA5","Cigar","CR1000","E3121","CR1000.Std.22","CPU:SBGmeas.CR1","24627","SBG_meas"
"TIMESTAMP","RECORD","BigRedButtonPressed","SBG","SBG_flux","ExperimentID"
"TS","RN","","","",""
"","","Smp","Smp","Smp","Smp"
"2018-03-22 19:46:37.4",88,0,0.05056117,0.09594151,10100
"2018-03-22 19:46:37.45",89,0,0.04685336,0.0889058,10100
"2018-03-22 19:46:37.5",90,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:37.55",91,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:37.6",92,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:37.65",93,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:37.7",94,0,0.05224655,0.09913956,10100
"2018-03-22 19:46:37.75",95,0,0.04988703,0.09466229,10100
"2018-03-22 19:46:37.8",96,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:37.85",97,0,0.04853873,0.09210385,10100
"2018-03-22 19:46:37.9",98,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:37.95",99,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:38",100,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:38.05",101,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:38.1",102,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:38.15",103,0,0.04685336,0.0889058,10100
"2018-03-22 19:46:38.2",104,0,0.04820165,0.09146424,10100
"2018-03-22 19:46:38.25",105,0,0.04752751,0.09018502,10100
"2018-03-22 19:46:38.3",106,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:38.35",107,0,0.0515724,0.09786034,10100
"2018-03-22 19:46:38.4",108,0,0.0556173,0.1055357,10100
"2018-03-22 19:46:38.45",109,0,0.05460607,0.1036168,10100
"2018-03-22 19:46:38.5",110,0,0.05865096,0.1112921,10100
"2018-03-22 19:46:38.55",111,0,0.05763974,0.1093733,10100
"2018-03-22 19:46:38.6",112,0,0.06067341,0.1151298,10100
"2018-03-22 19:46:38.65",113,0,0.05797682,0.1100129,10100
"2018-03-22 19:46:38.7",114,0,0.06101049,0.1157694,10100
"2018-03-22 19:46:38.75",115,0,0.05865096,0.1112921,10100
"2018-03-22 19:46:38.8",116,0,0.06101049,0.1157694,10100
"2018-03-22 19:46:38.85",117,0,0.05696559,0.1080941,10100
"2018-03-22 19:46:38.9",118,0,0.05932511,0.1125714,10100
"2018-03-22 19:46:38.95",119,0,0.05494314,0.1042564,10100
"2018-03-22 19:46:39",120,0,0.05865096,0.1112921,10100
"2018-03-22 19:46:39.05",121,0,0.054269,0.1029772,10100
"2018-03-22 19:46:39.1",122,0,0.05595437,0.1061753,10100
"2018-03-22 19:46:39.15",123,0,0.05190948,0.09849995,10100
"2018-03-22 19:46:39.2",124,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:39.25",125,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:39.3",126,0,0.05056117,0.09594151,10100
"2018-03-22 19:46:39.35",127,0,0.04752751,0.09018502,10100
"2018-03-22 19:46:39.4",128,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:39.45",129,0,0.04651628,0.08826619,10100
"2018-03-22 19:46:39.5",130,0,0.0488758,0.09274346,10100
"2018-03-22 19:46:39.55",131,0,0.04651628,0.08826619,10100
"2018-03-22 19:46:39.6",132,0,0.04954995,0.09402268,10100
"2018-03-22 19:46:39.65",133,0,0.04550506,0.08634736,10100
"2018-03-22 19:46:39.7",134,0,0.0502241,0.0953019,10100
"2018-03-22 19:46:39.75",135,0,0.04719043,0.08954541,10100
"2018-03-22 19:46:39.8",136,0,0.05089825,0.09658112,10100
"2018-03-22 19:46:39.85",137,0,0.04921288,0.09338307,10100
"2018-03-22 19:46:39.9",138,0,0.0529207,0.1004188,10100
"2018-03-22 19:46:39.95",139,0,0.04988703,0.09466229,10100
"2018-03-22 19:46:40",140,0,0.05528022,0.1048961,10100
"2018-03-22 19:46:40.05",141,0,0.05325777,0.1010584,10100
"2018-03-22 19:46:40.1",142,0,0.05898804,0.1119318,10100
